date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:19:27	329/329	---M--	200	added ('OK')	image/gif	etag:%2218e59740cef8ca1:5897%22	http://www.clb-ami1.be/_derived/Opendeurdagen.htm_cmp_Pixel100_vbtn.gif	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/_derived/Opendeurdagen.htm_cmp_Pixel100_vbtn.gif	(from )
09:19:27	9552/9552	---M--	200	added ('OK')	text/html	etag:%2280967fbba4e5cc1:5897%22	http://www.clb-ami1.be/linkenbank.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/linkenbank.htm	(from )
09:19:27	300/300	---M--	200	added ('OK')	image/gif	etag:%22dad8040cef8ca1:5897%22	http://www.clb-ami1.be/_derived/linkenbank.htm_cmp_Pixel100_vbtn.gif	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/_derived/linkenbank.htm_cmp_Pixel100_vbtn.gif	(from )
09:19:27	13197/13197	---M--	200	added ('OK')	text/html	etag:%22033943bcef8ca1:5897%22	http://www.clb-ami1.be/informatie_scholen_in_regio1.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/informatie_scholen_in_regio1.htm	(from )
09:19:28	360/360	---M--	200	added ('OK')	image/gif	etag:%225d95a840cef8ca1:5897%22	http://www.clb-ami1.be/_derived/informatie_scholen_in_regio1.htm_cmp_Pixel100_vbtn.gif	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/_derived/informatie_scholen_in_regio1.htm_cmp_Pixel100_vbtn.gif	(from )
09:19:28	6646/6646	---M--	200	added ('OK')	text/html	etag:%228045c5ba4ddcc1:5897%22	http://www.clb-ami1.be/nieuwe_pagina_2.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/nieuwe_pagina_2.htm	(from )
09:19:28	284/284	---M--	200	added ('OK')	image/gif	etag:%2280d28440cef8ca1:5897%22	http://www.clb-ami1.be/_derived/nieuwe_pagina_2.htm_cmp_Pixel100_vbtn.gif	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/_derived/nieuwe_pagina_2.htm_cmp_Pixel100_vbtn.gif	(from )
09:19:29	242/242	---M--	200	added ('OK')	image/gif	etag:%22d47fc3eb6ca7c71:5897%22	http://www.clb-ami1.be/_themes/eclipse/aeclrule.gif	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/_themes/eclipse/aeclrule.gif	(from )
09:19:29	184/184	---M--	200	added ('OK')	image/gif	etag:%2288105836da7c71:5897%22	http://www.clb-ami1.be/_derived/home_cmp_Echo000_gbtn.gif	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/_derived/home_cmp_Echo000_gbtn.gif	(from http://www.clb-ami1.be/)
09:19:30	1977/1977	---M--	200	added ('OK')	image/gif	etag:%223b227440cef8ca1:5897%22	http://www.clb-ami1.be/_derived/contact.htm_cmp_eclipse010_bnr.gif	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/_derived/contact.htm_cmp_eclipse010_bnr.gif	(from http://www.clb-ami1.be/)
09:19:30	67106/67106	---M--	200	added ('OK')	image/jpeg	etag:%229e1597bd6ca7c71:5897%22	http://www.clb-ami1.be/cover300x342.jpg	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/cover300x342.jpg	(from )
09:19:30	248/248	---M--	200	added ('OK')	image/gif	etag:%222cbf8736da7c71:5897%22	http://www.clb-ami1.be/_derived/home_cmp_Pixel100_vbtn.gif	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/_derived/home_cmp_Pixel100_vbtn.gif	(from http://www.clb-ami1.be/)
09:19:31	1053/1053	---M--	200	added ('OK')	image/gif	etag:%22e1e67840cef8ca1:5897%22	http://www.clb-ami1.be/_derived/contact.htm_cmp_Pixel100_vbtn_p.gif	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/_derived/contact.htm_cmp_Pixel100_vbtn_p.gif	(from http://www.clb-ami1.be/)
09:19:31	185/185	---M--	200	added ('OK')	image/gif	etag:%2232d55c36da7c71:5897%22	http://www.clb-ami1.be/_derived/home_cmp_Echo000_home.gif	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/_derived/home_cmp_Echo000_home.gif	(from http://www.clb-ami1.be/)
09:19:31	212/212	---M--	200	added ('OK')	image/gif	etag:%222f4a7236da7c71:5897%22	http://www.clb-ami1.be/_derived/next_cmp_Echo000_next.gif	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/_derived/next_cmp_Echo000_next.gif	(from http://www.clb-ami1.be/)
09:19:32	2131/2131	---M--	200	added ('OK')	image/gif	etag:%2242fb6c40cef8ca1:5897%22	http://www.clb-ami1.be/_derived/openingsuren.htm_cmp_eclipse110_bnr.gif	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/_derived/openingsuren.htm_cmp_eclipse110_bnr.gif	(from http://www.clb-ami1.be/)
09:19:32	1099/1099	---M--	200	added ('OK')	image/gif	etag:%22646ea140cef8ca1:5897%22	http://www.clb-ami1.be/_derived/openingsuren.htm_cmp_Pixel100_vbtn_p.gif	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/_derived/openingsuren.htm_cmp_Pixel100_vbtn_p.gif	(from http://www.clb-ami1.be/)
09:19:32	2924/2924	---M--	200	added ('OK')	image/gif	etag:%22a198b9f66ca7c71:5897%22	http://www.clb-ami1.be/images/clock.thm[1].gif	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/images/clock.thm[1].gif	(from http://www.clb-ami1.be/)
09:19:32	196/196	---M--	200	added ('OK')	image/gif	etag:%22d146b036da7c71:5897%22	http://www.clb-ami1.be/_derived/back_cmp_Echo000_back.gif	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/_derived/back_cmp_Echo000_back.gif	(from http://www.clb-ami1.be/)
09:19:33	1994/1994	---M--	200	added ('OK')	image/gif	etag:%229c366840cef8ca1:5897%22	http://www.clb-ami1.be/_derived/ligging.htm_cmp_eclipse110_bnr.gif	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/_derived/ligging.htm_cmp_eclipse110_bnr.gif	(from http://www.clb-ami1.be/)
09:19:33	1059/1059	---M--	200	added ('OK')	image/gif	etag:%22b7d0a340cef8ca1:5897%22	http://www.clb-ami1.be/_derived/ligging.htm_cmp_Pixel100_vbtn_p.gif	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/_derived/ligging.htm_cmp_Pixel100_vbtn_p.gif	(from http://www.clb-ami1.be/)
09:19:33	6454/6454	---M--	200	added ('OK')	text/html	etag:%2207fcf36cef8ca1:5897%22	http://www.clb-ami1.be/vorselaar1.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/vorselaar1.htm	(from http://www.clb-ami1.be/)
09:19:34	6619/6619	---M--	200	added ('OK')	text/html	etag:%2280156837cef8ca1:5897%22	http://www.clb-ami1.be/zoersel1.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/zoersel1.htm	(from http://www.clb-ami1.be/)
